team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,puntsTotalBlocked,puntsTotalIn20,puntTotalLongest,puntTotalTBs,puntAvgNetYdsPerAtt,puntTotalNetYds,puntTotalAtt,puntAvgYdsPerAtt,puntTotalYds
49ers,SF,14,,P,553387862,Thomas Morstead,16,0,2184,7,1,0,0,49,0,39.75,318,8,40.75,326
Bears,CHI,0,,P,553388585,Tory Taylor,1,0,10262,19,1,0,1,58,2,36.38,291,8,42.50,340
Bengals,CIN,1,,P,553388192,Ryan Rehkow,1,0,10223,8,1,0,2,49,0,31.75,127,4,32.00,128
Bills,BUF,2,,P,553388948,Mitch Wishnowsky,6,0,9689,19,1,0,1,45,0,36.00,108,3,40.67,122
Broncos,DEN,3,,P,553386533,Jeremy Crawshaw,0,0,10530,16,1,0,1,60,1,39.75,318,8,46.88,375
Browns,CLE,4,,P,553386223,Corey Bojorquez,7,0,9325,13,1,0,0,49,1,38.20,191,5,46.60,233
Buccaneers,TB,5,,P,553386651,Riley Dixon,9,0,7978,9,1,0,0,47,0,43.33,130,3,44.33,133
Cardinals,ARI,6,,P,553386913,Blake Gillikin,5,0,878,12,1,0,2,48,0,38.25,153,4,40.00,160
Chargers,LAC,7,,P,553388348,JK Scott,7,0,9052,16,1,0,1,45,0,41.50,83,2,44.50,89
Chiefs,KC,8,,P,553386072,Matt Araiza,3,0,1140,14,1,0,0,47,0,45.00,45,1,47.00,47
Colts,IND,9,,P,553388317,Rigoberto Sanchez,8,0,9282,8,1,0,0,45,0,35.00,35,1,45.00,45
Commanders,WAS,25,,P,553388825,Tress Way,12,0,7370,10,1,0,1,56,1,38.20,191,5,46.20,231
Cowboys,DAL,10,,P,553386065,Bryan Anger,13,0,5023,5,1,0,1,49,0,42.80,214,5,45.00,225
Dolphins,MIA,11,,P,553386105,Jake Bailey,6,0,9373,16,1,0,0,45,0,38.00,114,3,41.67,125
Eagles,PHI,12,,P,553387649,Braden Mann,5,0,442,10,1,0,0,48,1,29.40,147,5,35.80,179
Falcons,ATL,13,,P,553388105,Bradley Pinion,10,0,7281,13,1,0,4,50,1,40.50,243,6,43.83,263
Giants,NYG,15,,P,553386910,Jamie Gillan,6,0,125,12,1,0,1,44,0,37.50,150,4,40.25,161
Jaguars,JAX,16,,P,553386506,Logan Cooke,7,0,9331,9,1,0,1,40,0,33.12,265,8,33.62,269
Jets,NYJ,17,,P,553386330,Jack Browning,1,0,0,17,1,0,0,47,0,36.83,221,6,44.67,268
Lions,DET,18,,P,553386841,Jack Fox,7,0,9460,3,1,0,1,51,0,39.50,237,6,41.50,249
Packers,GB,19,,P,553388845,Daniel Whelan,2,0,5263,19,1,0,2,52,1,36.12,289,8,41.25,330
Panthers,CAR,20,,P,553387662,Sam Martin,12,0,6649,6,1,0,2,38,1,28.50,171,6,31.83,191
Patriots,NE,21,,P,553386124,Bryce Baringer,2,0,2645,17,1,0,2,41,0,34.29,240,7,36.86,258
Raiders,LV,22,,P,553386479,A.J. Cole,6,0,220,6,1,1,2,42,0,26.43,185,7,27.71,194
Rams,LAR,23,,P,553386755,Ethan Evans,2,0,3146,42,1,0,0,46,0,41.00,41,1,46.00,46
Ravens,BAL,24,,P,553388524,Jordan Stout,3,0,1957,11,1,0,0,42,0,22.25,89,4,29.25,117
Saints,NO,26,,P,553386361,James Burnip,0,0,10512,46,1,0,1,43,0,33.00,165,5,36.00,180
Seahawks,SEA,27,,P,553386638,Michael Dickson,7,0,8870,4,1,0,3,57,1,41.50,332,8,45.50,364
Steelers,PIT,28,,P,553388759,Corliss Waitman,5,0,2658,3,1,0,0,57,2,39.00,195,5,48.20,241
Texans,HOU,31,,P,553388672,Tommy Townsend,5,0,620,6,1,0,0,47,0,38.20,191,5,40.80,204
Titans,TEN,29,,P,553387102,Johnny Hekker,13,0,5860,3,1,0,1,51,0,44.83,269,6,47.83,287
Vikings,MIN,30,,P,553388991,Ryan Wright,3,0,2671,17,1,0,1,46,0,37.67,226,6,38.67,232
